11|12|0.000000|O
12|12|0.000000|O
15|7|0.000000|O
15|8|0.000000|O
16|8|0.000000|O
17|8|0.000000|O
18|13|0.000000|O
19|9|0.000000|O
15|9|1.000000|?
15|11|1.000000|?
13|12|1.000000|?
15|11|1.000000|?
13|12|1.000000|?
15|11|1.000000|?
13|12|1.000000|?
15|9|1.000000|?
15|11|1.000000|?
15|11|1.000000|?
15|9|1.000000|?
15|11|1.000000|?
15|11|1.000000|?
17|12|1.000000|?
15|11|1.000000|?
17|12|1.000000|?
17|13|1.000000|?
17|12|1.000000|?
17|13|1.000000|?
17|13|1.000000|?
18|9|1.000000|?
17|12|1.000000|?
18|14|1.000000|?
18|15|1.000000|?
18|16|1.000000|?
17|12|1.000000|?
19|10|1.000000|?
19|11|1.000000|?
