,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
cash_and_equiv,197587.0,2193534.0,73952.0,1997874.0,2793642.0,4895898.0,6086080.0,3324934.0,2858323.0,5071822.0,15159827.0,20581604.0,22517038.0,3575219.0
net_income,0.0,1416509.0,2198931.0,2547794.0,1131212.0,2174948.0,4208225.0,2330577.0,443370.0,2544525.0,3029976.0,1062895.0,2239423.0,6287358.0
long_term_debt,0.0,3216438.0,7177595.0,3554567.0,3790320.0,7585341.0,6648085.0,4304311.0,5898939.0,4878024.0,5538340.0,5133783.0,5963907.0,7788449.0
long_term_assets,0.0,4407593.0,5480337.0,8274539.0,8868865.0,8933435.0,10149012.0,11483189.0,11226121.0,10429183.0,10652276.0,11820086.0,11242042.0,13503659.0
depreication,0.0,470755.0,482152.0,564262.0,699039.0,740844.0,818385.0,868609.0,995924.0,1072959.0,1141110.0,1212713.0,1347442.0,1472455.0
eps_diluted,0.0,0.0,0.67,0.76,0.34,0.64,1.21,0.66,0.13,0.0,0.0,0.0,0.64,1.77
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25536996.0,24363967.0,33619031.0,28381541.0,22509641.0,30866582.0,40199354.0
