,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,2594000.0,8793000.0,13844000.0,18613000.0,29724000.0,28810000.0,14021000.0,80819000.0,35102000.0,0.0
revenue,0.0,5150000.0,1234000.0,4060000.0,1622000.0,1055000.0,5000000.0,6896000.0,8044000.0,1953000.0
net_income,0.0,-15772000.0,-5631000.0,-9417000.0,-13424000.0,-16900000.0,-11856000.0,-57487000.0,-11817000.0,-63408000.0
depreication,0.0,427000.0,272000.0,1400000.0,1402000.0,1778000.0,1057000.0,770000.0,100000.0,100000.0
eps_diluted,0.0,0.0,-13.95,0.0,0.0,0.0,0.0,0.0,-2.71,-12.87
long_term_debt,0.0,0.0,9836000.0,8754000.0,9885000.0,8601000.0,19430000.0,46987000.0,27110000.0,12266000.0
long_term_assets,0.0,0.0,3748000.0,903000.0,2585000.0,15282000.0,1432000.0,27254000.0,2136000.0,3835000.0
