,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,18208000.0,16806000.0,29032000.0,37066000.0,47239000.0,60733000.0,80184000.0,91877000.0,87342000.0,109393000.0,117066000.0,112994000.0,39293000.0,97825000.0,20532000.0
revenue,0.0,1943128000.0,2083781000.0,847609000.0,875666000.0,968096000.0,849736000.0,348255000.0,298969000.0,408460000.0,442649000.0,431339000.0,249755000.0,644788000.0,3366917000.0
net_income,0.0,4149000.0,8631000.0,4733000.0,7567000.0,109000.0,-6670000.0,-8404000.0,-168000.0,3693000.0,-3848000.0,2653000.0,5846000.0,2825000.0,3487000.0
eps_diluted,0.0,0.98,2.05,5.44,0.0,0.0,0.0,0.0,0.6,-0.11,-0.91,0.63,1.37,0.64,0.85
depreication,0.0,10320000.0,11817000.0,16260000.0,20714000.0,22275000.0,24615000.0,23717000.0,18792000.0,13599000.0,10654000.0,16641000.0,18573000.0,19797000.0,22707000.0
long_term_assets,0.0,0.0,54329000.0,73875000.0,94945000.0,96352000.0,89869000.0,66678000.0,54354000.0,37019000.0,49280000.0,83518000.0,108674000.0,101493000.0,134016000.0
