,2019,2020,2021,2022
cash_and_equiv,11750000.0,5052000.0,82599000.0,15217000.0
revenue,0.0,20114000.0,97325000.0,89979000.0
net_income,0.0,-3290000.0,-44480000.0,0.0
long_term_assets,0.0,56793000.0,240665000.0,130709000.0
depreication,0.0,4564000.0,8474000.0,35136000.0
eps_diluted,0.0,0.0,-1.23,-6.4
