,2020,2021,2022
revenue,52534000.0,110637000.0,167821000.0
net_income,-37109000.0,-71961000.0,-96322000.0
eps_diluted,-4.32,-0.96,-0.49
cash_and_equiv,38618000.0,430841000.0,210409000.0
long_term_assets,16194000.0,43676000.0,182489000.0
depreication,295000.0,463000.0,4262000.0
