,2019,2020,2021,2022
revenue,20109000.0,20998000.0,27098000.0,21478000.0
net_income,-32202000.0,-50521000.0,-68741000.0,-79464000.0
cash_and_equiv,39255000.0,170357000.0,143513000.0,63709000.0
long_term_assets,50532000.0,54310000.0,75517000.0,31696000.0
depreication,1384000.0,1342000.0,1208000.0,1504000.0
eps_diluted,0.0,0.0,-2.49,-2.76
