,2021,2022
revenue,181943027.0,161718543.0
net_income,7905916.0,3679920.0
eps_diluted,1.13,0.39
long_term_assets,12985908.0,14479322.0
depreication,287078.0,218662.0
cash_and_equiv,0.0,10100000.0
