,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,2271917.0,2334000.0,11460000.0,59477000.0,24985000.0,23902000.0,10139000.0,3881000.0,927000.0,4360000.0,2523000.0,5664000.0,2706000.0,22247000.0,15523000.0
net_income,0.0,-6987000.0,-2571000.0,-10127000.0,-9572000.0,-5739000.0,-2937000.0,-2534000.0,3426000.0,-853000.0,-1764000.0,-1513000.0,-3228000.0,-5402000.0,-9426000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_term_assets,0.0,0.0,1861958.0,2437000.0,544000.0,1528000.0,1351000.0,1234000.0,706000.0,688000.0,661000.0,656000.0,651000.0,988000.0,888000.0
depreication,0.0,0.0,7000.0,38000.0,123000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,30000.0,1000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.03,-0.04
