,2017,2018,2019,2020,2021,2022
revenue,472852000.0,755932000.0,1142761000.0,1692658000.0,2578027000.0,2802574000.0
net_income,-130044000.0,-62974000.0,-1361371000.0,-128323000.0,316438000.0,-96047000.0
cash_and_equiv,71468000.0,122509000.0,649666000.0,669230000.0,1419630000.0,1611063000.0
depreication,16135000.0,20859000.0,27791000.0,36988000.0,27500000.0,46489000.0
long_term_assets,0.0,263379000.0,326083000.0,251918000.0,355675000.0,408053000.0
eps_diluted,0.0,0.0,-3.24,-0.22,0.46,-0.14
