,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,8734000.0,58527000.0,30915000.0,31908000.0,7081000.0,1628136.0,7444052.0,24039000.0,94958000.0,77563000.0
net_income,0.0,-22793000.0,-32024000.0,-16208000.0,-26414000.0,-18219664.0,-20243000.0,-21822000.0,-58365000.0,-81351000.0
long_term_debt,0.0,7600000.0,6359000.0,5171000.0,3805000.0,15126313.0,5616082.0,5671000.0,8712000.0,20749000.0
long_term_assets,0.0,6176000.0,5550000.0,3997000.0,2860000.0,512598.0,1041227.0,1498000.0,3115000.0,10140000.0
eps_diluted,0.0,0.0,-2.42,-2.18,-0.99,-0.79,-1.46,-0.31,-0.3,-0.38
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43000.0,0.0,0.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229000.0,480000.0
