,2021,2022
revenue,7247000.0,18351000.0
net_income,-645000.0,-1345000.0
eps_diluted,-0.11,-0.13
long_term_debt,4731000.0,7353000.0
long_term_assets,2376000.0,1489000.0
cash_and_equiv,0.0,2340000.0
