,2018,2019,2020,2021,2022
revenue,50369013.0,46096684.0,50033200.0,57099884.0,64855025.0
net_income,5202609.0,5908479.0,5063710.0,3152868.0,1076693.0
depreication,1254098.0,1188173.0,1105588.0,1201229.0,1224672.0
eps_diluted,0.0,0.18,0.17,0.09,0.03
cash_and_equiv,0.0,4594440.0,11867130.0,10467357.0,14319234.0
long_term_assets,0.0,10298516.0,10625716.0,34988110.0,34492628.0
