,2018,2019,2020,2021,2022
revenue,60213088.0,52400844.0,66864375.0,98839900.0,90830674.0
net_income,6623551.0,4464556.0,6758502.0,6265578.0,3559565.0
cash_and_equiv,5563133.0,2123485.0,7159015.0,11062590.0,16295695.0
long_term_debt,63224890.0,59997401.0,79771806.0,85661139.0,66208689.0
long_term_assets,63168990.0,26244130.0,24335303.0,23263039.0,22751181.0
depreication,1581469.0,2298183.0,2435215.0,2511996.0,2436114.0
eps_diluted,0.0,0.0,0.0,0.58,0.27
