,2017,2018,2019,2020,2021,2022
cash_and_equiv,40718000.0,136761000.0,139682000.0,77258000.0,92106000.0,106875000.0
revenue,0.0,372515000.0,667573000.0,892816000.0,832288000.0,468702000.0
net_income,0.0,9505000.0,41968000.0,26563000.0,13903000.0,-39946000.0
eps_diluted,0.0,0.09,0.19,0.12,0.06,-0.19
long_term_assets,0.0,2959000.0,16498000.0,37949000.0,51932000.0,56649000.0
depreication,0.0,330000.0,3387000.0,8317000.0,11322000.0,12830000.0
