,2021,2022,2023
revenue,0,6986,0.0
net_income,-1726323,-770347,-3527425.0
eps_diluted,0,0,-0.01
cash_and_equiv,0,3154,13773.0
long_term_assets,0,585225,585031.0
depreication,0,582,776.0
