,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,19000.0,1169000.0,673000.0,388000.0,406000.0,685000.0,1489000.0,1509000.0
revenue,0.0,280000.0,193000.0,2001000.0,6040000.0,6279000.0,12416000.0,24154000.0
net_income,0.0,-1140000.0,439000.0,-3163000.0,-4520000.0,-3377000.0,-16683000.0,-8013000.0
eps_diluted,0.0,-0.22,0.06,-0.31,-0.27,-0.06,-0.13,-0.05
long_term_debt,0.0,3695000.0,1224000.0,4463000.0,6660786.0,6631850.0,26566000.0,32337000.0
long_term_assets,0.0,242000.0,16000.0,3818000.0,3464000.0,3096000.0,14182000.0,39171000.0
depreication,0.0,18000.0,18000.0,227000.0,669000.0,613000.0,1749000.0,2916000.0
