,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-16200.0,-125000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38421.0,-40847.0,-15909.0,-94170.0,-51237.0,-49669,-933761.0,-403212.0,-4412858.0,-184462000.0,-59335000.0,3387000.0,-39316000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,37.0,38.0,0.0,0.0,0,10197.0,73642.0,3946000.0,2361000.0,3926000.0,21729000.0,3173000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.68,-0.26,-1.56,0.0,0,-0.01,-0.02,0.0,0.0,-7.26,0.14,-1.34
long_term_debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56941.0,68659.0,89361.0,37401.0,59865,590963.0,1753175.0,15229000.0,70276000.0,87187000.0,17611000.0,17024000.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16956.0,12764.0,8572.0,4380.0,2190,0.0,0.0,99000.0,35953000.0,33690000.0,30741000.0,11151000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4192.0,4192.0,4192.0,4192.0,2190,2190.0,0.0,14000.0,171000.0,1748000.0,1664000.0,1690000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48.0,214.0,14785000.0,15577000.0,42590000.0,46006000.0,54660000.0
