,2020,2021,2022
revenue,11219559.0,12543556.0,12158102.0
net_income,-1015348.0,-1386515.0,-1655903.0
eps_diluted,-0.08,-0.11,-0.11
depreication,265689.0,259122.0,303269.0
cash_and_equiv,0.0,131129.0,9165651.0
long_term_assets,0.0,2181831.0,5786297.0
