,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,353000.0,1704000.0,5705000,16385000,622000,502000,569000,261000,2478000,17645000,20166000
revenue,0.0,11032000.0,3288000,22686000,11930000,12924000,14210000,82387000,83345000,78452000,79767000
net_income,0.0,-7810000.0,-4040000,11857000,16442000,16339000,14136000,10390000,10288000,40362000,40650000
depreication,0.0,3572000.0,5544000,5828000,5647000,5111000,4442000,3441000,3806000,3737000,4093000
long_term_debt,0.0,0.0,9781000,21703000,154403000,151058000,150288000,287912000,219082000,82482000,84638000
long_term_assets,0.0,0.0,67956000,61858000,71501000,70634000,64528000,88224000,87326000,81427000,86849000
