,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-2000.0,-1000.0,-205000.0,-346000.0,-789000.0,-496000.0,-853000.0,-1218000.0,-2687000.0,-8076000.0,-26015000.0,-34129000.0,-8815000.0,37981000.0,8742000.0,-4099000.0,2210000.0,-2334000.0,-3612000.0,-5671000.0,858000.0,174000.0,4359000.0,8028000.0,-6321000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3534000.0,6752000.0,47582000.0,51960000.0,35780000.0,14973000.0,27541000.0,12822000.0,14166000.0,22390000.0,7762000.0,11076000.0,25405000.0,33712000.0,23675000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.78,-0.17,0.68,0.16,-0.08,0.04,-0.03,-0.06,0.0,0.01,0.09,0.06,0.11,-0.07
long_term_debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6456000.0,25761000.0,13025000.0,11878000.0,14022000.0,14866000.0,8942000.0,17208000.0,19662000.0,29681000.0,12085000.0,29659000.0,24682000.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5110000.0,30062000.0,46645000.0,52830000.0,62774000.0,73917000.0,89181000.0,90434000.0,118975000.0,142049000.0,62861000.0,156847000.0,158072000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154000.0,953000.0,1540000.0,2626000.0,4551000.0,9097000.0,12588000.0,14998000.0,15091000.0,19917000.0,17601000.0,16147000.0,27364000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83227000.0,33307000.0,28131000.0,39348000.0,90692000.0,125196000.0,138724000.0
