,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-116000.0,-511000.0,-1459000.0,-5241000.0,-13994000.0,-19431000.0,-9138000.0,-8420000.0,-5364000.0,-4320000.0,-6939000.0,-9689000.0,-11445000.0,-16444000.0,-18490000.0,-7933000.0,-5482000.0,-9738000.0,-19322000.0,-9926000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,7763000.0,7025000.0,5943000.0,2920000.0,16756000.0,15354000.0,38802000.0,7401000.0,8702000.0,6608000.0,8363000.0,49071000.0,53359000.0,42445000.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994000.0,290000.0,167000.0,159000.0,644000.0,658000.0,3184000.0,66000.0,48000.0,56000.0,461000.0,503000.0,386000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338000.0,602000.0,43000.0,26000.0,12000.0,19000.0,24000.0,27000.0,22000.0,18000.0,8000.0,16000.0,20000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.39,-0.69
