,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-10043.0,-1171419.0,-979076.0,-630859.0,-148970.0,-1055748.0,-1149320.0,-2071255.0,-8891924.0,-6216592.0,-12857339.0,-18806776.0,2431423.0,-15191095.0,-7641817.0,-13657028.0,-20022520.0,-29019532.0
cash_and_equiv,0.0,0.0,0.0,0.0,3175718.0,3378155.0,1550248.0,170106.0,1729537.0,8034765.0,5568306.0,3204378.0,6140135.0,4259266.0,3899328.0,32665874.0,34885274.0,9603242.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,68703.0,61682.0,230338.0,1857067.0,2024527.0,2079715.0,639015.0,561113.0,775766.0,568909.0,941713.0,4893362.0,7206176.0
depreication,0.0,0.0,0.0,0.0,0.0,12926.0,7507.0,20337.0,26923.0,41896.0,110865.0,125719.0,144174.0,157652.0,171956.0,143890.0,245697.0,533131.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,1354500.0,195500.0,503233.0,4786700.0,5517648.0,3998618.0,2666340.0,1671356.0,1005028.0,310250.0,244898.0,2551469.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.01,0.09,-0.52,0.0,-0.88,-0.87,-1.18
