,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,2768000.0,3095000.0,1905000.0,2475000.0,2724000.0,3470000.0,3692000.0,4018000.0,3250000.0,4494000.0,5313000.0,6652000.0,5974000.0,5217000.0
revenue,0.0,7189000.0,6804000.0,7192000.0,6268000.0,0.0,0.0,0.0,7622000.0,8222000.0,6783000.0,6696000.0,8643000.0,8423000.0
net_income,0.0,-343000.0,-613000.0,-739000.0,-933000.0,-1127000.0,-587000.0,-3111000.0,701000.0,1378000.0,773000.0,1359000.0,2010000.0,3208000.0
long_term_assets,0.0,5240000.0,5696000.0,5927000.0,5738000.0,5309000.0,4891000.0,4503000.0,4269000.0,3922000.0,3591000.0,3406000.0,3248000.0,5155000.0
depreication,0.0,227000.0,186000.0,212000.0,188000.0,155000.0,155000.0,175000.0,203000.0,161000.0,178000.0,186000.0,180000.0,135000.0
eps_diluted,0.0,0.0,-0.11,-0.14,-0.17,-0.21,-0.11,-0.56,0.12,0.24,0.0,0.0,0.0,0.0
