,2020,2021,2022,2023
revenue,2241200000.0,2762300000.0,2417600000.0,2216900000.0
net_income,-546600000.0,212300000.0,56700000.0,-200600000.0
eps_diluted,-15.67,5.93,1.35,-4.93
depreication,77500000.0,80000000.0,80100000.0,80400000.0
cash_and_equiv,0.0,27400000.0,22500000.0,20200000.0
long_term_debt,0.0,1394900000.0,1362200000.0,1483800000.0
long_term_assets,0.0,1682500000.0,1641900000.0,1537900000.0
