,2017,2018,2019,2020,2021,2022
net_income,-11862000.0,-8562000.0,-10781000.0,-34495000.0,-49762000.0,-58655000.0
cash_and_equiv,5961000.0,20505000.0,34067000.0,72037000.0,92046000.0,68632000.0
depreication,400000.0,900000.0,1400000.0,1400000.0,1700000.0,2100000.0
long_term_assets,0.0,5874000.0,11347000.0,9664000.0,130351000.0,17515000.0
revenue,0.0,0.0,0.0,19538000.0,27941000.0,50931000.0
eps_diluted,0.0,0.0,0.0,-1.4,-1.41,-1.42
