,2016,2017,2018,2019,2020,2021,2022
revenue,21174801.0,21628554.0,23152267.0,20095058.0,26664011.0,32092828.0,10482809.0
net_income,3453977.0,3984866.0,1546290.0,-10786837.0,0.0,0.0,0.0
depreication,134350.0,313554.0,643265.0,952204.0,1451572.0,2016719.0,2163197.0
cash_and_equiv,0.0,2958674.0,4348635.0,5699106.0,8400000.0,7000000.0,9400000.0
long_term_assets,0.0,4175909.0,5660026.0,7633148.0,71419322.0,76196856.0,43179619.0
eps_diluted,0.0,0.0,0.0,0.0,-1.13,-0.19,-0.2
