,2020,2021,2022
revenue,9088000.0,20992000.0,24413000.0
net_income,-2728854.0,-100769000.0,15170000.0
cash_and_equiv,460000.0,168538000.0,56011000.0
long_term_debt,58474000.0,78185000.0,78043000.0
long_term_assets,10541000.0,14012000.0,21182000.0
depreication,362000.0,874000.0,1718000.0
eps_diluted,0.0,-1.67,0.16
