,2019,2020,2021,2022
revenue,6094000000.0,6195000000.0,7940000000.0,8993000000.0
net_income,60000000.0,-31000000.0,153000000.0,197000000.0
eps_diluted,0.52,-0.27,1.32,1.67
depreication,302000000.0,323000000.0,335000000.0,329000000.0
cash_and_equiv,0.0,328000000.0,333000000.0,495000000.0
long_term_assets,0.0,4712000000.0,5172000000.0,6791000000.0
