,2021,2022
revenue,538000.0,323000.0
net_income,-2438600.0,-7964000.0
eps_diluted,-91.88,-0.64
cash_and_equiv,76899000.0,54097000.0
long_term_assets,1204000.0,3515000.0
depreication,279000.0,308000.0
