,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,12632000.0,12610000.0,14078000.0,22477000.0,34201000.0,34656000.0,49825000.0,46216000.0,26552000.0,18288000.0,12175000.0,24586000.0,55193000.0,58075000.0
net_income,0.0,12275000.0,10342000.0,13936000.0,14425000.0,23718000.0,5465000.0,-9377000.0,19667000.0,3985000.0,-7234000.0,-14875000.0,-186019000.0,70079000.0
eps_diluted,0.0,0.63,0.5,0.66,0.68,1.08,0.26,-0.32,0.66,0.13,-0.24,-7.74,-60.05,16.73
depreication,0.0,12509000.0,14584000.0,17469000.0,19664000.0,21468000.0,19426000.0,48673000.0,52143000.0,64862000.0,49059000.0,45908000.0,41518000.0,37595000.0
long_term_debt,0.0,0.0,135609000.0,147528000.0,145750000.0,148864000.0,463543000.0,514632000.0,535533000.0,139951000.0,150536000.0,133004000.0,500816000.0,688247000.0
long_term_assets,0.0,0.0,165212000.0,185113000.0,213285000.0,236127000.0,484432000.0,746061000.0,658775000.0,622865000.0,667639000.0,447243000.0,304255000.0,269092000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196696000.0,316334000.0,309799000.0,287807000.0,207303000.0,794197000.0,840208000.0
