,2019,2020,2021,2022
revenue,0.0,544871.0,16879715.0,28005857.0
net_income,-4980183.0,-4980183.0,-26551105.0,-25971971.0
eps_diluted,-0.38,-0.38,-0.9,-0.81
cash_and_equiv,494.0,665463.0,18663805.0,3319898.0
long_term_assets,3419.0,46358.0,20856595.0,19342139.0
depreication,0.0,8555.0,1986816.0,2892543.0
