,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,0.0,0.0,0.0,65977000.0,101303000.0,326655000.0,96235000.0,108966000.0,64025000.0,93653000.0,253307000.0,151803000.0
net_income,0.0,242096000.0,50800000.0,-23261000.0,12757000.0,11486000.0,295077000.0,12635000.0,28733000.0,8684000.0,-24028000.0,-14919000.0
eps_diluted,0.0,5.74,1.2,-0.55,0.3,0.18,5.01,0.18,0.45,0.14,-0.38,-0.23
depreication,0.0,60909000.0,74386000.0,85607000.0,89189000.0,88274000.0,96646000.0,145957000.0,142152000.0,138371000.0,138299000.0,134576000.0
long_term_debt,0.0,0.0,79846000.0,1076261000.0,999363000.0,126979000.0,307571000.0,370418000.0,286146000.0,293000000.0,354563000.0,353680000.0
long_term_assets,0.0,0.0,874211000.0,992164000.0,950859000.0,902431000.0,1996074000.0,1962994000.0,1906320000.0,1896293000.0,1668904000.0,1657998000.0
revenue,0.0,0.0,0.0,0.0,0.0,868731000.0,348975000.0,481345000.0,467970000.0,371705000.0,373847000.0,1717267000.0
