,2021,2022
revenue,34748000.0,59077000.0
net_income,-516442.0,-22334000.0
eps_diluted,-0.33,-0.26
cash_and_equiv,0.0,33390000.0
long_term_assets,281923000.0,296262000.0
depreication,16252000.0,18249000.0
