,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,53873000.0,60107000.0,17069000.0,20591000.0,381869000.0,18693000.0,98511000.0,12187000.0,23153000.0,2812000.0,1606000.0,58000.0,38560000.0,516000.0,518000.0,3671000.0,521000.0
revenue,0.0,973060000.0,1371056000.0,269895000.0,519057000.0,0.0,2456472000.0,2517127000.0,2435205000.0,1257560000.0,960567000.0,1119566000.0,1455655000.0,1260360000.0,215903000.0,1242872000.0,1704345000.0
net_income,0.0,253147000.0,388396000.0,-75156000.0,10364000.0,52607000.0,114661000.0,409597000.0,635491000.0,-4385448000.0,-976177000.0,163152000.0,322698000.0,216959000.0,-50658000.0,56002000.0,480160000.0
eps_diluted,0.0,1.0,1.54,0.01,0.03,0.13,0.3,1.11,1.81,-12.57,-2.61,0.41,0.71,0.45,-1.01,1.04,8.83
depreication,0.0,195900000.0,221792000.0,238323000.0,434307000.0,409196000.0,507538000.0,509943000.0,592972000.0,531660000.0,846043000.0,207713000.0,216449000.0,233816000.0,45812000.0,150640000.0,151428000.0
long_term_debt,0.0,0.0,386067000.0,1694858000.0,3011019000.0,3345279000.0,616421000.0,675199000.0,4211484000.0,3683355000.0,3213407000.0,3233448000.0,2897000000.0,2645968000.0,423067000.0,441683000.0,346862000.0
long_term_assets,0.0,0.0,3174475000.0,4014216000.0,8200745000.0,9500311000.0,9596588000.0,11374178000.0,11915122000.0,5542364000.0,4093452000.0,4269044000.0,4426928000.0,4511256000.0,1507912000.0,1727548000.0,2121269000.0
