,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,50326000.0,75801000.0,203420000.0,231727000.0,195455000.0,224967000.0,231947000.0,141945000.0,73343000.0,74026000.0
revenue,0.0,882904000.0,772265000.0,158648000.0,212846000.0,43067000.0,49266000.0,18420000.0,158420000.0,278716000.0
net_income,0.0,92856000.0,17218000.0,-41129000.0,-149785000.0,-52177000.0,-61385000.0,-44908000.0,-110137000.0,-3355000.0
long_term_debt,0.0,2891983000.0,132616000.0,923963000.0,993582000.0,1171366000.0,420114000.0,395419000.0,416531000.0,303181000.0
long_term_assets,0.0,3103794000.0,2971291000.0,850222000.0,785126000.0,803329000.0,744900000.0,532505000.0,413897000.0,358438000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,-8.22,-21.1,-8.4,-0.26
