,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,0.0,0.0,0.0,0.0,2448.0,6760.0,549392.0,258140.0,512484.0,12957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
net_income,0.0,-21237.0,-50890.0,-65411.0,-53957.0,-58201.0,-1049087.0,-952543.0,-315938.0,-453879.0,-990396.0,-2013632.0,-20513138.0,6468325.0,-9402244.0,-3170267.0,-5471649.0,-12741962.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,-0.003,-0.048,-0.046,0.0,0.0,0.0,0.0,-0.16,0.0,-19.0,0.0,0.0,0.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,51498.0,88282.0,0.0,0.0,274.0,1098.0,3677.0,2338.0,2338.0,51392.0,139362.0,144411.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,832314.0,744032.0,250556.0,0.0,17102.0,16004.0,13042.0,10704.0,32052.0,1128180.0,999823.0,1951927.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,74.0,0.0,0.0,0.0,0.0,181229.0,505604.0,567905.0
