,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-259476.0,-1979400.0,-1204380.0,-1055485.0,-3701084.0,-16339120.0,-2105727.0,-2332077.0,-6701048.0,-24782646.0,-29331773.0,-22142040.0,-26647493.0,-11325058.0,-8450922.0,-2371976.0,-3996756.0,-5705000.0,-7313000.0,-10162000.0,-3969000.0,-6502000.0,-10514000.0,-31719000.0,-49615000.0,-43014000.0,-38150000.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8667404.0,27978823.0,43569947.0,22500000.0,25681000.0,12688000.0,16683000.0,13373000.0,22121000.0,24301000.0,49804000.0,22880000.0,34012000.0,52100000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488959.0,2093522.0,0.0,0.0,0.0,0.0,83000.0,0.0,0.0,0.0,257000.0,0.0,0.0
long_term_debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1801476.0,2469019.0,2570666.0,4833000.0,8438000.0,23173000.0,3455000.0,6015000.0,7254000.0,10880000.0,33278000.0,40316000.0,31945000.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77738.0,10064260.0,9798153.0,9722000.0,12097000.0,11965000.0,14321000.0,61764000.0,38943000.0,12136000.0,12624000.0,11598000.0,10823000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19821.0,37570.0,90047.0,40000.0,85000.0,146000.0,99000.0,0.0,526000.0,311000.0,255000.0,136000.0,31000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32,-0.25
