,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
net_income,-148931.0,-511587.0,-339063.0,375621.0,-63864.0,-607630.0,-795364.0,-54416.0,-36575.0,-170950.0,79122.0,-52024.0,-25198.0,-3106230.0,-430790.0,-517914.0,-651474.0,-1897174,-5445187.0,17827500.0,-15117547.0,-19390850.0,-63988245.0,-14790850,-17358259.0
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,209518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7946.0,159297.0,12239.0,1345.0,30585,18605.0,5735259.0,4009892.0,5638724.0,7839539.0,3467938,0.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5053.0,423296.0,603626,3109792.0,39336912.0,132817105.0,123073644.0,103867709.0,36345430,30961949.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47066.0,0.0,0.0,95924,0.0,0.0,0.0,0.0,0.0,37987964,24038160.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4227.0,5053.0,34881,98572.0,507145.0,1644693.0,10936446.0,0.0,7307157,1499166.0
long_term_debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481902.0,1666305,6694677.0,23240829.0,123386840.0,34243588.0,158631748.0,41241961,28033949.0
