,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685000.0,5947000.0,5297000.0,2303000.0,1663000.0,2307000.0,942000.0,3926000.0,28260000.0,22781000.0,13650000.0,30344000.0,21100000.0,23774000.0
net_income,0.0,-37000.0,-398000.0,-958000.0,-1605000.0,-2524000.0,-3732000.0,-17795000.0,-6594000.0,-13871000.0,-16440000.0,-13357000.0,-13600000.0,-3012000.0,-7823000.0,4685000.0,-5163000.0,1845000.0,-2176000.0,-659000.0,-2789000.0,-7046000.0,-9888000.0,-12775000.0,-18109000.0,-17346000.0,-23714000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49,0.19,-0.21,0.17,-0.22,-0.06,0.0,0.0,0.0,0.0,-0.76,-0.67,-0.9
long_term_debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10917000.0,5471000.0,7322000.0,3207000.0,1759000.0,471000.0,402000.0,1644000.0,1637000.0,2271000.0,2347000.0,1654000.0,29508000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170000.0,0.0,0.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262000.0,0.0,27000.0,211000.0
