,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,245313000.0,236357000.0,196503000.0,220786000.0,431261000.0,465100000.0,432800000.0,452300000.0,456200000.0,588700000.0,573000000.0,211700000.0
net_income,0.0,30282000.0,10588000.0,-29687000.0,43132000.0,78500000.0,117600000.0,-900000.0,5700000.0,66700000.0,123800000.0,-430900000.0
depreication,0.0,85604000.0,95196000.0,103706000.0,96800000.0,96400000.0,110600000.0,130200000.0,91500000.0,92600000.0,167500000.0,236900000.0
eps_diluted,0.0,0.0,-0.6,-0.61,0.88,1.72,2.63,-0.02,0.14,1.71,3.14,-11.99
long_term_debt,0.0,0.0,1994229000.0,1768653000.0,1626389000.0,1707600000.0,1798600000.0,1704800000.0,1701300000.0,1703600000.0,3238500000.0,3007000000.0
long_term_assets,0.0,0.0,1098035000.0,1033453000.0,969860000.0,988400000.0,1125800000.0,1095500000.0,1267700000.0,1328100000.0,2733700000.0,2369500000.0
revenue,0.0,0.0,0.0,0.0,0.0,3716600000.0,4448100000.0,1065000000.0,888800000.0,768100000.0,1298500000.0,4965500000.0
