,2020,2021,2022
net_income,-1158285.0,-3488298.0,-9296948.0
cash_and_equiv,912361.0,19047778.0,10114990.0
long_term_assets,459138.0,358385.0,1732795.0
depreication,157039.0,145719.0,156598.0
eps_diluted,0.0,-0.41,-0.46
revenue,0.0,0.0,249040.0
