,2018,2019,2020,2021,2022
revenue,135665000,116251000,63992000,54570000,69828000
net_income,1277000,-25834000,-29932000,-38627000,-14087000
cash_and_equiv,13049000,11298000,22141000,11233000,13213000
long_term_debt,61710000,37794000,20836000,21051000,32062000
long_term_assets,3477000,8118000,4741000,5403000,10054000
depreication,1850000,3525000,2728000,2129000,2375000
