,2016,2017,2018,2019,2020,2021,2022
revenue,422094000.0,728017000.0,833089000.0,669103000.0,716770000.0,718632000.0,719367000.0
net_income,-262594000.0,-39761000.0,-14743000.0,13223000.0,132713000.0,-51408000.0,-929413000.0
eps_diluted,-4.98,-1.09,2.6,0.04,0.42,-0.33,-5.78
cash_and_equiv,101643000.0,277716000.0,382620000.0,173372000.0,270708000.0,732116000.0,121738000.0
depreication,215325000.0,250876000.0,258362000.0,209105000.0,221406000.0,230135000.0,94981000.0
long_term_debt,0.0,2590966000.0,2292074000.0,2336319000.0,2393776000.0,2304546000.0,1658736000.0
long_term_assets,0.0,4938171000.0,4694341000.0,4990843000.0,5197750000.0,3933287000.0,2892613000.0
