,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
cash_and_equiv,1457115.0,3861145.0,27040325.0,91657.0,59335.0,24404368.0,14250267.0,14001304.0,22449000.0,69392000.0
net_income,0.0,-4013620.0,-13580984.0,-18742706.0,-4905278.0,-15346731.0,896480.0,-20502395.0,-15211000.0,-46125000.0
long_term_assets,0.0,122826.0,49385.0,49385.0,426634.0,3158611.0,3522966.0,4219491.0,3631000.0,3166000.0
revenue,0.0,0.0,0.0,0.0,0.0,778657.0,753108.0,0.0,0.0,0.0
depreication,0.0,0.0,0.0,0.0,3325.0,29838.0,200957.0,158253.0,125000.0,116000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,-2.19,0.1,-3.84,9714951.0,0.0
