,2018,2019,2020,2021,2022
revenue,73279000.0,114451000.0,185704000.0,247767000.0,221170000.0
net_income,-31823000.0,-58789000.0,-63126000.0,-236024000.0,-196292000.0
cash_and_equiv,20029000.0,30353000.0,26718000.0,30317000.0,43574000.0
long_term_assets,605000.0,1405000.0,82296000.0,188696000.0,56423000.0
depreication,253000.0,183000.0,552000.0,7326000.0,7521000.0
eps_diluted,0.0,0.0,0.0,-6.67,-2.95
