,2011,2012,2013,2014,2015,2018,2019,2020,2021,2022,2023
net_income,-20687.0,-22852.0,-62029.0,-12539823.0,-8770738.0,-1713639.0,-2215345.0,-1200253,-4383173,3173260.0,-379266
revenue,0.0,22421.0,41888.0,7450.0,80279.0,463108.0,770635.0,526139,140902,14123.0,48537
long_term_debt,0.0,49993.0,67824.0,205861.0,148213.0,465307.0,617730.0,980351,5091412,2663049.0,2233653
long_term_assets,0.0,0.0,0.0,0.0,112143.0,63421.0,17553.0,21494,20556,50000.0,2646186
depreication,0.0,0.0,0.0,0.0,4481.0,23531.0,11533.0,7229,2421,0.0,31352
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30723,16161,26942.0,35756
