,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,203872000.0,300738000.0,285037000.0,304115000.0,405880000.0,423384000.0,264087000.0,281502000.0,325991000.0,190953000.0,268577000.0,373056000.0,509639000.0,490561000.0,229122000.0
eps_diluted,0.0,2.22,2.1,0.4,-0.07,0.31,0.17,0.66,0.04,2.84,0.64,1.07,-11.08,-2.85,-4.67
depreication,0.0,52648000.0,57712000.0,66262000.0,85599000.0,83050000.0,96374000.0,105581000.0,108128000.0,113277000.0,139866000.0,158906000.0,151665000.0,138299000.0,136169000.0
long_term_debt,0.0,0.0,400555000.0,488820000.0,653790000.0,658631000.0,819864000.0,766775000.0,830116000.0,936961000.0,1463435000.0,1675743000.0,2154372000.0,2912404000.0,2752049000.0
long_term_assets,0.0,0.0,670979000.0,987998000.0,1293966000.0,1558454000.0,1897681000.0,1748938000.0,1910365000.0,2157745000.0,2491479000.0,3251918000.0,2859552000.0,2617215000.0,2461316000.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2432413000.0,682604000.0,697465000.0,708137000.0,844813000.0,1596584000.0,2641267000.0
net_income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224120000.0,330610000.0,31636000.0,49717000.0,-510935000.0,-144773000.0,-240081000.0
