,2016,2017,2018,2019,2020,2021,2022
revenue,208540000.0,123251000.0,575123000.0,724788000.0,731224000.0,906858000.0,1135346000.0
net_income,-279658000.0,-67761000.0,-115449000.0,-65833000.0,-157553000.0,-164445000.0,0.0
cash_and_equiv,0.0,103828000.0,220728000.0,202823000.0,246947000.0,396035000.0,348498000.0
long_term_debt,0.0,1212625000.0,998584000.0,1210776000.0,827276000.0,869209000.0,953525000.0
long_term_assets,0.0,801006000.0,857860000.0,849884000.0,835783000.0,919151000.0,890664000.0
eps_diluted,0.0,0.0,0.0,-2.67,-1.14,-0.95,-1.62
