,2021,2022
revenue,20082000.0,54865000.0
net_income,-829563.0,-38567000.0
eps_diluted,-1.1,-2.07
cash_and_equiv,2845000.0,38966000.0
long_term_assets,4452000.0,4888000.0
depreication,388000.0,571000.0
