,2018,2019,2020,2021,2022
revenue,2067000.0,4796000.0,1182000.0,0.0,0.0
net_income,-13731000.0,-19243000.0,-45740000.0,-83463000.0,-123482000.0
depreication,400000.0,400000.0,200000.0,51000.0,300000.0
cash_and_equiv,0.0,9017000.0,434219000.0,363667000.0,48822000.0
long_term_debt,0.0,10405000.0,6204000.0,15295000.0,38925000.0
long_term_assets,0.0,867000.0,62000.0,13164000.0,35520000.0
eps_diluted,0.0,0.0,-2.76,-2.07,-3.03
