,2021,2022
revenue,1195987000.0,1336342000.0
net_income,-205940000.0,-370098000.0
eps_diluted,-0.29,-0.52
cash_and_equiv,299329000.0,163177000.0
long_term_debt,776123000.0,1113899000.0
long_term_assets,2378450000.0,2792585000.0
depreication,85140000.0,115848000.0
