,2020,2021,2022
net_income,990000.0,299000.0,5005000.0
eps_diluted,0.17,0.03,0.37
cash_and_equiv,386000.0,20619000.0,13282000.0
long_term_assets,28536000.0,63761000.0,153627000.0
depreication,2277000.0,6371000.0,12251000.0
revenue,0.0,149970000.0,261714000.0
