,2020,2021,2022
revenue,3335000.0,3407000.0,5631000.0
net_income,-19341000.0,-43843000.0,-25643000.0
eps_diluted,-1.96,-4.18,-0.72
cash_and_equiv,7057000.0,10749000.0,4810000.0
long_term_debt,7217000.0,19353000.0,19207000.0
long_term_assets,4156000.0,4243000.0,11993000.0
depreication,1354000.0,1552000.0,1710000.0
