,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,33321000.0,18578000.0,19739000.0,28596000.0,51178000.0,76290000.0,113401000.0,92919000.0,79612000.0,98508000.0,415652000.0
revenue,0.0,283672000.0,301600000.0,293461000.0,301853000.0,81241000.0,86271000.0,89346000.0,339410000.0,425208000.0,935061000.0
depreication,0.0,25783000.0,18251000.0,18904000.0,17330000.0,18189000.0,12769000.0,12087000.0,23251000.0,0.0,0.0
net_income,0.0,0.0,227000.0,3916000.0,4869000.0,97126000.0,13293000.0,10450000.0,-13473000.0,-71279000.0,28067000.0
eps_diluted,0.0,0.0,-0.2,0.13,0.13,2.47,0.34,0.26,-0.25,-1.06,0.4
long_term_debt,0.0,0.0,441391000.0,385382000.0,318299000.0,312143000.0,316464000.0,260181000.0,298904000.0,265260000.0,805767000.0
long_term_assets,0.0,0.0,161918000.0,152373000.0,145079000.0,236008000.0,244416000.0,233008000.0,685596000.0,627993000.0,643642000.0
