,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1182024.0,27809.0,116838.0,94150.0,56510.0,191474.0,715195.0,932785.0,2055634.0
net_income,0.0,-992.0,-3181.0,-2733.0,-2382.0,-2170.0,52565.0,-11386.0,-14396.0,-8433.0,-6760.0,-7066.0,-10183.0,-19608.0,-22220.0,-2712084.0,-12680.0,-502315.0,-1713180.0,-1161200.0,-1584904.0,238618.0,622986.0,-2952360.0
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9741779.0,11477723.0,9415139.0,9173520.0,9358999.0,12834844.0,20023340.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,-0.07
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1898947.0,608000.0,749639.0,368510.0,3241520.0,2627931.0,1768799.0,1020959.0,1298356.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392395.0,423056.0,27967.0,916897.0,848865.0,833016.0,12352.0
