,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,387162000.0,469501000.0,455886000.0,493827000,796000000.0,936000000.0,1539000000.0,2329000000.0,2819000000.0,3186000000.0,2826000000.0,2452000000.0,4154000000.0,4438000000.0,4006000000.0
revenue,0.0,3669356000.0,4085977000.0,4540263000,5914209000.0,6589000000.0,9667000000.0,14178000000.0,4534000000.0,4949000000.0,4664000000.0,4274000000.0,19423000000.0,27771000000.0,31974000000.0
net_income,0.0,30868000.0,17628000.0,-32960000,25643000.0,-9126000.0,34000000.0,30000000.0,-47000000.0,-262000000.0,201000000.0,168000000.0,673000000.0,659000000.0,792000000.0
eps_diluted,0.0,0.79,0.39,-720,0.54,-0.2,0.69,0.52,-0.85,-4.59,3.01,2.67,11.23,11.25,13.55
depreication,0.0,38110000.0,45704000.0,48253000,63114000.0,73000000.0,93000000.0,104000000.0,139000000.0,137000000.0,99000000.0,89000000.0,88000000.0,131000000.0,176000000.0
long_term_debt,0.0,0.0,729562000.0,837434000,1102508000.0,2030976000.0,3026551000.0,5233000000.0,6016000000.0,6875000000.0,5266000000.0,4506000000.0,7092000000.0,9220000000.0,9031000000.0
long_term_assets,0.0,0.0,548997000.0,604064000,585696000.0,948336000.0,1232000000.0,1270000000.0,1461000000.0,960000000.0,692000000.0,820000000.0,1656000000.0,2145000000.0,2230000000.0
