,2017,2018,2019,2020,2021,2022
revenue,209700000.0,229200000.0,140700000.0,298200000.0,383900000.0,326500000.0
net_income,-8515.0,-4000000.0,-3200000.0,-23400000.0,-2800000.0,-41400000.0
eps_diluted,27801.44,-8697.61,-0.31,-0.32,-0.04,-0.51
cash_and_equiv,1896.0,17500000.0,19700000.0,48500000.0,103900000.0,62800000.0
long_term_debt,816830.0,534300000.0,452300000.0,490700000.0,472900000.0,432100000.0
long_term_assets,868919.0,724400000.0,1033000000.0,1026300000.0,1021900000.0,993900000.0
depreication,41900000.0,43200000.0,17200000.0,31500000.0,35000000.0,32100000.0
