,2019,2020,2021,2022
cash_and_equiv,471458.0,977635.0,6651705.0,1821947.0
revenue,0.0,39938472.0,54075922.0,79418473.0
net_income,0.0,1986962.0,-775749.0,1517875.0
long_term_assets,0.0,269127.0,3332017.0,23397242.0
eps_diluted,0.0,0.0,-0.04,0.05
depreication,0.0,0.0,12091.0,277924.0
