,2017,2018,2019,2020,2021,2022
revenue,2845123.0,4013537.0,2789130.0,8503000.0,17981000.0,27802000.0
net_income,5919924.0,-6411457.0,-7900595.0,-41106000.0,-72435000.0,-132596000.0
cash_and_equiv,1021897.0,16522729.0,17311373.0,38449000.0,24571000.0,5091000.0
long_term_debt,16652251.0,13552237.0,46451966.0,25271000.0,21840000.0,35884000.0
long_term_assets,3005788.0,1777302.0,1949625.0,13661000.0,104686000.0,150204000.0
depreication,1504042.0,1320521.0,1127850.0,1479000.0,3351000.0,9621000.0
eps_diluted,0.0,0.0,0.0,0.0,-0.26,-0.46
