,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
cash_and_equiv,3238.0,0.0,0.0,0.0,0.0,0.0,0.0,700497.0,1037818.0,284991.0,603681.0,4886122.0,1050060.0,9641776.0,1775583.0,1231445.0,2613000.0,14282000.0,33943000.0,4231000.0
net_income,0.0,-345914.0,-777083.0,-2053944.0,-2610070.0,-1193684.0,-1306004.0,-3359865.0,-3719688.0,-7474224.0,-9568301.0,-12431413.0,-25088070.0,-5264593.0,-5467333.0,-10947685.0,-56187000.0,-37980000.0,-40077000.0,-210820000.0
long_term_debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6995433.0,5044269.0,4709962.0,4505039.0,10768723.0,3580681.0,6144005.0,16733237.0,26926348.0,44501000.0,217300000.0,165376000.0
long_term_assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21122.0,42535.0,3317239.0,2984036.0,2641452.0,2291789.0,1934500.0,1578371.0,15504705.0,13687000.0,95978000.0,18670000.0
depreication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,2013.0,222684.0,352429.0,360582.0,361610.0,366385.0,356128.0,1245167.0,2034000.0,1797000.0,781000.0
eps_diluted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,-0.06,-0.31
revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266000.0
