,2019,2020,2021,2022
revenue,116099000.0,151533000.0,191909000.0,232339000.0
net_income,2965368.0,-16996000.0,-35219000.0,-41630000.0
eps_diluted,-1.72,-0.57,-0.48,0.0
cash_and_equiv,994810.0,69112000.0,268217000.0,227188000.0
long_term_assets,351809163.0,48357000.0,54582000.0,109238000.0
depreication,1049000.0,1059000.0,1238000.0,3084000.0
