,2019,2020,2021,2022
cash_and_equiv,118806.0,243494,295937,257512.0
revenue,0.0,162292,147950,138731.0
net_income,0.0,-76876,-1625124,-1038221.0
eps_diluted,0.0,0,0,-0.01
long_term_assets,0.0,299429,297037,305469.0
depreication,0.0,741,741,632.0
