,2020,2021,2022
revenue,80772000.0,209292000.0,284284000.0
net_income,-210607000.0,20251000.0,-202324000.0
eps_diluted,-1.94,-0.42,-1.44
cash_and_equiv,85857000.0,94962000.0,26196000.0
depreication,4425000.0,8411000.0,26492000.0
long_term_debt,0.0,203724000.0,288186000.0
long_term_assets,0.0,497693000.0,459290000.0
